,,,,,,,,,,
Timestamp,Which speech have you listened to/read?,How much time did you spend reading the speech/hearing the speech?(In Minutes),1. the speech was trying to convey feelings of Anger,2. the speech was trying to convey feelings of Anticipation,3. the speech was trying to convey feelings of Joy,4. the speech was trying to convey feelings of Trust,5. the speech was trying to convey feelings of Fear,6. the speech was trying to convey feelings of Surprise,7. the speech was trying to convey feelings of Sadness,8. the speech was trying to convey feelings of Disgust
11/4/2023 21:11:24,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,10,1,2,0,7,8,3,9,7
11/4/2023 21:12:20,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,6,0,4,0,6,8,5,8,8
11/4/2023 21:24:26,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,10,0,5,9,10,1,4,0,0
11/4/2023 21:26:39,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,6,0,3,7,8,2,5,1,0
11/4/2023 21:27:13,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,8,1,6,9,10,3,2,1,1
11/4/2023 21:28:09,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,10,0,2,10,10,0,4,0,0
11/5/2023 1:25:40,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,9,6,3,1,2,9,3,8,5
11/5/2023 1:28:35,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,7,0,8,9,10,0,3,0,0
11/5/2023 1:30:24,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",6,6,10,1,9,0,2,0,0
11/5/2023 1:56:29,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",7,8,9,0,10,1,0,0,0
11/5/2023 1:57:14,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",6,8,8,1,10,1,1,1,1
11/5/2023 13:01:39,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,16,0,9,9,10,2,1,2,0
11/5/2023 13:02:40,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,17,1,9,8,10,0,2,0,0
11/5/2023 13:13:42,Nelson Mandela's Inaugural Address (1994):https://www.africa.upenn.edu/Articles_Gen/Inaugural_Speech_17984.html Video: https://www.youtube.com/watch?v=pJiXu4q__VU,9,6,10,8,9,0,0,1,0
11/22/2023 21:24:20,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,4,4,1,6,8,5,3,9,7
11/22/2023 21:25:49,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,6,3,2,5,7,6,2,8,6
11/22/2023 21:32:42,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,7,7,0,6,9,8,2,7,5
11/22/2023 21:34:00,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,10,6,3,2,6,7,3,8,8
11/22/2023 21:43:30,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,10,6,4,7,8,7,0,8,6
11/22/2023 21:44:04,Elie Wiesel's Nobel Peace Prize Acceptance Speech (1986):https://sfponline.org/Uploads/66/ElieWieselspeech.pdf,5,6,0,8,6,8,1,10,6
